codepoint,x,y,width,height,advance
22120,240,80,10,10,1.00
22124,250,80,10,10,1.00
22235,260,80,10,10,1.00
22238,270,80,10,10,1.00
22253,280,80,10,10,1.00
22260,290,80,10,10,1.00
22266,300,80,10,10,1.00
22269,310,80,10,10,1.00
22312,0,90,10,10,1.00
22320,10,90,10,10,1.00
22330,20,90,10,10,1.00
22343,30,90,10,10,1.00
22351,40,90,10,10,1.00
22368,50,90,10,10,1.00
22411,60,90,10,10,1.00
22495,70,90,10,10,1.00
22522,80,90,10,10,1.00
22681,90,90,10,10,1.00
22686,100,90,10,10,1.00
22771,110,90,10,10,1.00
22788,120,90,10,10,1.00
22791,130,90,10,10,1.00
22797,140,90,10,10,1.00
22806,150,90,10,10,1.00
22810,160,90,10,10,1.00
22823,170,90,10,10,1.00
22833,180,90,10,10,1.00
22836,190,90,10,10,1.00
22855,200,90,10,10,1.00
22857,210,90,10,10,1.00
22865,220,90,10,10,1.00
22870,230,90,10,10,1.00
22909,240,90,10,10,1.00
22987,250,90,10,10,1.00
23376,260,90,10,10,1.00
23383,270,90,10,10,1.00
23384,280,90,10,10,1.00
23396,290,90,10,10,1.00
23427,300,90,10,10,1.00
23432,310,90,10,10,1.00
23433,0,100,10,10,1.00
23436,10,100,10,10,1.00
23448,20,100,10,10,1.00
23450,30,100,10,10,1.00
23452,40,100,10,10,1.00
23453,50,100,10,10,1.00
23454,60,100,10,10,1.00
23457,70,100,10,10,1.00
23460,80,100,10,10,1.00
23478,90,100,10,10,1.00
23481,100,100,10,10,1.00
23485,110,100,10,10,1.00
23487,120,100,10,10,1.00
23545,130,100,10,10,1.00
23553,140,100,10,10,1.00
23556,150,100,10,10,1.00
23558,160,100,10,10,1.00
23567,170,100,10,10,1.00
23569,180,100,10,10,1.00
23601,190,100,10,10,1.00
23613,200,100,10,10,1.00
23614,210,100,10,10,1.00
23616,220,100,10,10,1.00
23618,230,100,10,10,1.00
23631,240,100,10,10,1.00
23637,250,100,10,10,1.00
23646,260,100,10,10,1.00
23792,270,100,10,10,1.00
24034,280,100,10,10,1.00
24038,290,100,10,10,1.00
24046,300,100,10,10,1.00
24049,310,100,10,10,1.00
24050,0,110,10,10,1.00
24065,10,110,10,10,1.00
24066,20,110,10,10,1.00
24067,30,110,10,10,1.00
24070,40,110,10,10,1.00
24110,50,110,10,10,1.00
24120,60,110,10,10,1.00
24133,70,110,10,10,1.00
24149,80,110,10,10,1.00
24179,90,110,10,10,1.00
24180,100,110,10,10,1.00
24182,110,110,10,10,1.00
24184,120,110,10,10,1.00
24191,130,110,10,10,1.00
24207,140,110,10,10,1.00
24211,150,110,10,10,1.00
24212,160,110,10,10,1.00
24213,170,110,10,10,1.00
24215,180,110,10,10,1.00
24230,190,110,10,10,1.00
24231,200,110,10,10,1.00
24310,210,110,10,10,1.00
24314,220,110,10,10,1.00
24320,230,110,10,10,1.00
24322,240,110,10,10,1.00
24335,250,110,10,10,1.00
24369,260,110,10,10,1.00
24378,270,110,10,10,1.00
24402,280,110,10,10,1.00
24403,290,110,10,10,1.00
24405,300,110,10,10,1.00
24418,310,110,10,10,1.00
24433,0,120,10,10,1.00
24452,10,120,10,10,1.00
24453,20,120,10,10,1.00
24466,30,120,10,10,1.00
24471,40,120,10,10,1.00
24490,50,120,10,10,1.00
24517,60,120,10,10,1.00
24555,70,120,10,10,1.00
24577,80,120,10,10,1.00
24613,90,120,10,10,1.00
24615,100,120,10,10,1.00
24635,110,120,10,10,1.00
24674,120,120,10,10,1.00
24687,130,120,10,10,1.00
24694,140,120,10,10,1.00
24748,150,120,10,10,1.00
24847,160,120,10,10,1.00
24930,170,120,10,10,1.00
25103,180,120,10,10,1.00
25104,190,120,10,10,1.00
25110,200,120,10,10,1.00
25112,210,120,10,10,1.00
25151,220,120,10,10,1.00
25152,230,120,10,10,1.00
25163,240,120,10,10,1.00
25176,250,120,10,10,1.00
25187,260,120,10,10,1.00
25191,270,120,10,10,1.00
25195,280,120,10,10,1.00
25209,290,120,10,10,1.00
25214,300,120,10,10,1.00
25215,310,120,10,10,1.00
25226,0,130,10,10,1.00
25237,10,130,10,10,1.00
25238,20,130,10,10,1.00
25240,30,130,10,10,1.00
25250,40,130,10,10,1.00
25252,50,130,10,10,1.00
25260,60,130,10,10,1.00
25277,70,130,10,10,1.00
25293,80,130,10,10,1.00
25302,90,130,10,10,1.00
25307,100,130,10,10,1.00
25321,110,130,10,10,1.00
25345,120,130,10,10,1.00
25351,130,130,10,10,1.00
25353,140,130,10,10,1.00
25361,150,130,10,10,1.00
25391,160,130,10,10,1.00
25442,170,130,10,10,1.00
25481,180,130,10,10,1.00
25504,190,130,10,10,1.00
25509,200,130,10,10,1.00
25511,210,130,10,10,1.00
25512,220,130,10,10,1.00
25527,230,130,10,10,1.00
25551,240,130,10,10,1.00
25552,250,130,10,10,1.00
25671,260,130,10,10,1.00
25758,270,130,10,10,1.00
25773,280,130,10,10,1.00
25805,290,130,10,10,1.00
25903,300,130,10,10,1.00
25910,310,130,10,10,1.00
25913,0,140,10,10,1.00
25918,10,140,10,10,1.00
25928,20,140,10,10,1.00
25937,30,140,10,10,1.00
25955,40,140,10,10,1.00
25968,50,140,10,10,1.00
25970,60,140,10,10,1.00
25972,70,140,10,10,1.00
26009,80,140,10,10,1.00
26021,90,140,10,10,1.00
26029,100,140,10,10,1.00
26032,110,140,10,10,1.00
26041,120,140,10,10,1.00
26049,130,140,10,10,1.00
26059,140,140,10,10,1.00
26063,150,140,10,10,1.00
26080,160,140,10,10,1.00
26082,170,140,10,10,1.00
26087,180,140,10,10,1.00
26089,190,140,10,10,1.00
26102,200,140,10,10,1.00
26126,210,140,10,10,1.00
26131,220,140,10,10,1.00
26159,230,140,10,10,1.00
26174,240,140,10,10,1.00
26179,250,140,10,10,1.00
26197,260,140,10,10,1.00
26222,270,140,10,10,1.00
26224,280,140,10,10,1.00
26242,290,140,10,10,1.00
26262,300,140,10,10,1.00
26263,310,140,10,10,1.00
26354,0,150,10,10,1.00
26356,10,150,10,10,1.00
26367,20,150,10,10,1.00
26368,30,150,10,10,1.00
26377,40,150,10,10,1.00
26379,50,150,10,10,1.00
26395,60,150,10,10,1.00
26399,70,150,10,10,1.00
26408,80,150,10,10,1.00
26410,90,150,10,10,1.00
26411,100,150,10,10,1.00
26412,110,150,10,10,1.00
26426,120,150,10,10,1.00
26435,130,150,10,10,1.00
26448,140,150,10,10,1.00
26463,150,150,10,10,1.00
26465,160,150,10,10,1.00
26469,170,150,10,10,1.00
26497,180,150,10,10,1.00
26524,190,150,10,10,1.00
26525,200,150,10,10,1.00
26550,210,150,10,10,1.00
26588,220,150,10,10,1.00
26597,230,150,10,10,1.00
26631,240,150,10,10,1.00
26641,250,150,10,10,1.00
26680,260,150,10,10,1.00
26681,270,150,10,10,1.00
26684,280,150,10,10,1.00
26700,290,150,10,10,1.00
26723,300,150,10,10,1.00
26816,310,150,10,10,1.00
26869,0,160,10,10,1.00
27010,10,160,10,10,1.00
27133,20,160,10,10,1.00
27169,30,160,10,10,1.00
27178,40,160,10,10,1.00
27425,50,160,10,10,1.00
27454,60,160,10,10,1.00
27490,70,160,10,10,1.00
27491,80,160,10,10,1.00
27493,90,160,10,10,1.00
27530,100,160,10,10,1.00
27573,110,160,10,10,1.00
27597,120,160,10,10,1.00
27599,130,160,10,10,1.00
27604,140,160,10,10,1.00
27700,150,160,10,10,1.00
27704,160,160,10,10,1.00
27714,170,160,10,10,1.00
27719,180,160,10,10,1.00
27744,190,160,10,10,1.00
27809,200,160,10,10,1.00
27839,210,160,10,10,1.00
27861,220,160,10,10,1.00
27874,230,160,10,10,1.00
27969,240,160,10,10,1.00
27975,250,160,10,10,1.00
27979,260,160,10,10,1.00
27982,270,160,10,10,1.00
28023,280,160,10,10,1.00
28040,290,160,10,10,1.00
28145,300,160,10,10,1.00
28165,310,160,10,10,1.00
28170,0,170,10,10,1.00
28193,10,170,10,10,1.00
28216,20,170,10,10,1.00
28297,30,170,10,10,1.00
28304,40,170,10,10,1.00
28369,50,170,10,10,1.00
28382,60,170,10,10,1.00
28385,70,170,10,10,1.00
28404,80,170,10,10,1.00
28436,90,170,10,10,1.00
28748,100,170,10,10,1.00
28779,110,170,10,10,1.00
28781,120,170,10,10,1.00
28783,130,170,10,10,1.00
28857,140,170,10,10,1.00
28865,150,170,10,10,1.00
28982,160,170,10,10,1.00
29031,170,170,10,10,1.00
29190,180,170,10,10,1.00
29256,190,170,10,10,1.00
29260,200,170,10,10,1.00
29273,210,170,10,10,1.00
29289,220,170,10,10,1.00
29305,230,170,10,10,1.00
29366,240,170,10,10,1.00
29420,250,170,10,10,1.00
29482,260,170,10,10,1.00
29486,270,170,10,10,1.00
29575,280,170,10,10,1.00
29579,290,170,10,10,1.00
29609,300,170,10,10,1.00
29615,310,170,10,10,1.00
29616,0,180,10,10,1.00
29627,10,180,10,10,1.00
29664,20,180,10,10,1.00
29702,30,180,10,10,1.00
29827,40,180,10,10,1.00
29983,50,180,10,10,1.00
29992,60,180,10,10,1.00
30001,70,180,10,10,1.00
30005,80,180,10,10,1.00
30011,90,180,10,10,1.00
30028,100,180,10,10,1.00
30041,110,180,10,10,1.00
30333,120,180,10,10,1.00
30340,130,180,10,10,1.00
30405,140,180,10,10,1.00
30410,150,180,10,10,1.00
30417,160,180,10,10,1.00
30422,170,180,10,10,1.00
30423,180,180,10,10,1.00
30431,190,180,10,10,1.00
30446,200,180,10,10,1.00
30452,210,180,10,10,1.00
30456,220,180,10,10,1.00
30475,230,180,10,10,1.00
30495,240,180,10,10,1.00
30528,250,180,10,10,1.00
30693,260,180,10,10,1.00
30701,270,180,10,10,1.00
30707,280,180,10,10,1.00
30721,290,180,10,10,1.00
30733,300,180,10,10,1.00
30772,310,180,10,10,1.00
30784,0,190,10,10,1.00
30830,10,190,10,10,1.00
30913,20,190,10,10,1.00
31034,30,190,10,10,1.00
31080,40,190,10,10,1.00
31105,50,190,10,10,1.00
31163,60,190,10,10,1.00
31181,70,190,10,10,1.00
31186,80,190,10,10,1.00
31215,90,190,10,10,1.00
31227,100,190,10,10,1.00
31243,110,190,10,10,1.00
31246,120,190,10,10,1.00
31283,130,190,10,10,1.00
31348,140,190,10,10,1.00
31354,150,190,10,10,1.00
31383,160,190,10,10,1.00
31435,170,190,10,10,1.00
31456,180,190,10,10,1.00
31508,190,190,10,10,1.00
31532,200,190,10,10,1.00
31561,210,190,10,10,1.00
31574,220,190,10,10,1.00
31639,230,190,10,10,1.00
31665,240,190,10,10,1.00
31867,250,190,10,10,1.00
31869,260,190,10,10,1.00
31918,270,190,10,10,1.00
31995,280,190,10,10,1.00
32032,290,190,10,10,1.00
32047,300,190,10,10,1.00
32422,310,190,10,10,1.00
32423,0,200,10,10,1.00
32437,10,200,10,10,1.00
32447,20,200,10,10,1.00
32451,30,200,10,10,1.00
32452,40,200,10,10,1.00
32456,50,200,10,10,1.00
32463,60,200,10,10,1.00
32467,70,200,10,10,1.00
32472,80,200,10,10,1.00
32473,90,200,10,10,1.00
32479,100,200,10,10,1.00
32487,110,200,10,10,1.00
32493,120,200,10,10,1.00
32512,130,200,10,10,1.00
32531,140,200,10,10,1.00
32536,150,200,10,10,1.00
32541,160,200,10,10,1.00
32553,170,200,10,10,1.00
32570,180,200,10,10,1.00
32622,190,200,10,10,1.00
32763,200,200,10,10,1.00
32791,210,200,10,10,1.00
32858,220,200,10,10,1.00
32905,230,200,10,10,1.00
32933,240,200,10,10,1.00
33021,250,200,10,10,1.00
33033,260,200,10,10,1.00
33080,270,200,10,10,1.00
33151,280,200,10,10,1.00
33258,290,200,10,10,1.00
33267,300,200,10,10,1.00
33337,310,200,10,10,1.00
33410,0,210,10,10,1.00
33455,10,210,10,10,1.00
33457,20,210,10,10,1.00
33509,30,210,10,10,1.00
33539,40,210,10,10,1.00
33719,50,210,10,10,1.00
33756,60,210,10,10,1.00
33829,70,210,10,10,1.00
33853,80,210,10,10,1.00
34255,90,210,10,10,1.00
34656,100,210,10,10,1.00
34701,110,210,10,10,1.00
34880,120,210,10,10,1.00
34892,130,210,10,10,1.00
34917,140,210,10,10,1.00
34920,150,210,10,10,1.00
34928,160,210,10,10,1.00
34955,170,210,10,10,1.00
34987,180,210,10,10,1.00
34989,190,210,10,10,1.00
35201,200,210,10,10,1.00
35206,210,210,10,10,1.00
35265,220,210,10,10,1.00
35268,230,210,10,10,1.00
35272,240,210,10,10,1.00
35302,250,210,10,10,1.00
35745,260,210,10,10,1.00
35748,270,210,10,10,1.00
35753,280,210,10,10,1.00
35757,290,210,10,10,1.00
35758,300,210,10,10,1.00
35760,310,210,10,10,1.00
35768,0,220,10,10,1.00
35774,10,220,10,10,1.00
35775,20,220,10,10,1.00
35777,30,220,10,10,1.00
35789,40,220,10,10,1.00
35797,50,220,10,10,1.00
35813,60,220,10,10,1.00
35828,70,220,10,10,1.00
35831,80,220,10,10,1.00
35835,90,220,10,10,1.00
35843,100,220,10,10,1.00
35889,110,220,10,10,1.00
36127,120,220,10,10,1.00
36129,130,220,10,10,1.00
36130,140,220,10,10,1.00
36131,150,220,10,10,1.00
36133,160,220,10,10,1.00
36134,170,220,10,10,1.00
36135,180,220,10,10,1.00
36136,190,220,10,10,1.00
36138,200,220,10,10,1.00
36141,210,220,10,10,1.00
36148,220,220,10,10,1.00
36152,230,220,10,10,1.00
36153,240,220,10,10,1.00
36156,250,220,10,10,1.00
36159,260,220,10,10,1.00
36162,270,220,10,10,1.00
36164,280,220,10,10,1.00
36172,290,220,10,10,1.00
36175,300,220,10,10,1.00
36186,310,220,10,10,1.00
36208,0,230,10,10,1.00
36215,10,230,10,10,1.00
36229,20,230,10,10,1.00
36234,30,230,10,10,1.00
36275,40,230,10,10,1.00
36317,50,230,10,10,1.00
36335,60,230,10,10,1.00
36523,70,230,10,10,1.00
36712,80,230,10,10,1.00
36716,90,230,10,10,1.00
36718,100,230,10,10,1.00
36731,110,230,10,10,1.00
36733,120,230,10,10,1.00
36745,130,230,10,10,1.00
36755,140,230,10,10,1.00
36793,150,230,10,10,1.00
36798,160,230,10,10,1.00
36807,170,230,10,10,1.00
36816,180,230,10,10,1.00
36817,190,230,10,10,1.00
36820,200,230,10,10,1.00
36824,210,230,10,10,1.00
36825,220,230,10,10,1.00
36827,230,230,10,10,1.00
36828,240,230,10,10,1.00
36830,250,230,10,10,1.00
36831,260,230,10,10,1.00
36845,270,230,10,10,1.00
36861,280,230,10,10,1.00
36864,290,230,10,10,1.00
36873,300,230,10,10,1.00
36880,310,230,10,10,1.00
36882,0,240,10,10,1.00
36884,10,240,10,10,1.00
36890,20,240,10,10,1.00
36895,30,240,10,10,1.00
36896,40,240,10,10,1.00
36947,50,240,10,10,1.00
37027,60,240,10,10,1.00
37051,70,240,10,10,1.00
37096,80,240,10,10,1.00
37117,90,240,10,10,1.00
37197,100,240,10,10,1.00
37202,110,240,10,10,1.00
37321,120,240,10,10,1.00
37325,130,240,10,10,1.00
37327,140,240,10,10,1.00
37329,150,240,10,10,1.00
37775,160,240,10,10,1.00
38065,170,240,10,10,1.00
38081,180,240,10,10,1.00
38085,190,240,10,10,1.00
38108,200,240,10,10,1.00
38142,210,240,10,10,1.00
38145,220,240,10,10,1.00
38271,230,240,10,10,1.00
38378,240,240,10,10,1.00
38381,250,240,10,10,1.00
38382,260,240,10,10,1.00
38388,270,240,10,10,1.00
38408,280,240,10,10,1.00
38431,290,240,10,10,1.00
38453,300,240,10,10,1.00
38454,310,240,10,10,1.00
38468,0,250,10,10,1.00
38469,10,250,10,10,1.00
38477,20,250,10,10,1.00
38480,30,250,10,10,1.00
38500,40,250,10,10,1.00
38505,50,250,10,10,1.00
38543,60,250,10,10,1.00
38544,70,250,10,10,1.00
38548,80,250,10,10,1.00
38632,90,250,10,10,1.00
38656,100,250,10,10,1.00
38663,110,250,10,10,1.00
38738,120,250,10,10,1.00
38750,130,250,10,10,1.00
38754,140,250,10,10,1.00
38899,150,250,10,10,1.00
39030,160,250,10,10,1.00
39034,170,250,10,10,1.00
39035,180,250,10,10,1.00
39044,190,250,10,10,1.00
39046,200,250,10,10,1.00
39057,210,250,10,10,1.00
39063,220,250,10,10,1.00
39064,230,250,10,10,1.00
39069,240,250,10,10,1.00
39118,250,250,10,10,1.00
39135,260,250,10,10,1.00
39282,270,250,10,10,1.00
39302,280,250,10,10,1.00
39304,290,250,10,10,1.00
39318,300,250,10,10,1.00
39534,310,250,10,10,1.00
39564,0,260,10,10,1.00
39592,10,260,10,10,1.00
39600,20,260,10,10,1.00
39640,30,260,10,10,1.00
39740,40,260,10,10,1.00
39764,50,260,10,10,1.00
40657,60,260,10,10,1.00
40664,70,260,10,10,1.00
40723,80,260,10,10,1.00
40784,90,260,10,10,1.00
40863,100,260,10,10,1.00
65288,110,260,10,10,1.00
65289,120,260,10,10,1.00
65292,130,260,10,10,1.00
65306,140,260,10,10,1.00
65307,150,260,10,10,1.00
