codepoint,x,y,width,height,active_width,anchor,top_row,bottom_row,bitmap_hex
64,1,19,16,16,14,baseline,0,14,07E0;0FF8;181C;300E;33E6;23F7;233B;231B;331B;1BBB;0FF7;0007;000E;03FC;01F8;0000
65,19,19,16,16,10,baseline,3,14,0000;0000;0000;0078;0078;0078;00FC;00CC;00CC;01CE;01FE;01FE;0387;0303;0303;0000
66,37,19,16,16,9,baseline,3,14,0000;0000;0000;007F;00FF;00C3;00C3;00E3;007F;00FF;01C3;0183;01C3;00FF;007F;0000
67,55,19,16,16,9,baseline,3,14,0000;0000;0000;00F8;01FE;0086;0007;0003;0003;0003;0003;0007;0086;01FE;00F8;0000
68,73,19,16,16,9,baseline,3,14,0000;0000;0000;003F;00FF;00C3;01C3;0183;0183;0183;0183;01C3;00E3;00FF;003F;0000
69,91,19,16,16,7,baseline,3,14,0000;0000;0000;007F;007F;0003;0003;0003;003F;003F;0003;0003;0003;007F;007F;0000
70,109,19,16,16,7,baseline,3,14,0000;0000;0000;007F;007F;0003;0003;0003;003F;003F;0003;0003;0003;0003;0003;0000
71,127,19,16,16,9,baseline,3,14,0000;0000;0000;00F8;01FE;0086;0007;0003;01E3;01E3;0183;0187;0186;01FE;00F8;0000
72,145,19,16,16,9,baseline,3,14,0000;0000;0000;0183;0183;0183;0183;0183;01FF;01FF;0183;0183;0183;0183;0183;0000
73,163,19,16,16,2,baseline,3,14,0000;0000;0000;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0000
74,181,19,16,16,7,baseline,3,14,0000;0000;0000;0060;0060;0060;0060;0060;0060;0060;0060;0060;0062;007F;003E;0000
75,199,19,16,16,9,baseline,3,14,0000;0000;0000;00C3;00E3;0073;003B;001B;003F;003F;0077;0063;00E3;00C3;0183;0000
76,217,19,16,16,7,baseline,3,14,0000;0000;0000;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;007F;007F;0000
77,235,19,16,16,10,baseline,3,14,0000;0000;0000;0387;0387;0387;03CF;03CF;03CF;037B;037B;037B;0333;0333;0303;0000
78,253,19,16,16,9,baseline,3,14,0000;0000;0000;0187;0187;018F;018F;019B;019B;01B3;01B3;01E3;01E3;01C3;01C3;0000
79,271,19,16,16,10,baseline,3,14,0000;0000;0000;00FC;01FE;0186;0387;0303;0303;0303;0303;0387;0186;01FE;0078;0000
80,289,19,16,16,8,baseline,3,14,0000;0000;0000;007F;00FF;00C3;00C3;00C3;00E3;007F;001F;0003;0003;0003;0003;0000
81,307,19,16,16,10,baseline,0,14,00FC;01FE;0186;0387;0303;0303;0303;0303;0387;0186;01FE;0078;0070;03E0;03C0;0000
82,325,19,16,16,8,baseline,3,14,0000;0000;0000;007F;00FF;00C3;00C3;00C3;00E3;007F;003F;0073;0063;00E3;00C3;0000
83,343,19,16,16,8,baseline,3,14,0000;0000;0000;007E;007F;0043;0003;000F;003E;007C;00E0;00C0;00C1;007F;003E;0000
84,361,19,16,16,9,baseline,3,14,0000;0000;0000;01FF;01FF;0018;0018;0018;0018;0018;0018;0018;0018;0018;0018;0000
85,379,19,16,16,9,baseline,3,14,0000;0000;0000;0183;0183;0183;0183;0183;0183;0183;0183;0183;01C7;00FE;007C;0000
86,397,19,16,16,10,baseline,3,14,0000;0000;0000;0383;0187;0186;01C6;00C6;00CE;00CC;006C;007C;0078;0078;0038;0000
87,415,19,16,16,14,baseline,3,14,0000;0000;0000;30C7;31C7;39C6;19E6;19E6;1B66;1B6E;1B3C;0F3C;0F3C;0E3C;0E1C;0000
88,433,19,16,16,9,baseline,3,14,0000;0000;0000;0186;00CE;00CC;007C;0078;0038;0038;007C;00EC;00CE;01C6;0187;0000
89,451,19,16,16,9,baseline,3,14,0000;0000;0000;0187;0186;00CE;00CC;00FC;0078;0078;0030;0030;0030;0030;0030;0000
90,469,19,16,16,8,baseline,3,14,0000;0000;0000;00FF;00FF;0060;0070;0030;0018;001C;000C;0006;0006;00FF;00FF;0000
91,487,19,16,16,4,center,0,15,000F;000F;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;000F;000F
92,505,19,16,16,6,center,0,15,0003;0002;0006;0006;0006;0004;000C;000C;0008;0018;0018;0018;0010;0030;0030;0020
93,523,19,16,16,4,center,0,15,000F;000F;000C;000C;000C;000C;000C;000C;000C;000C;000C;000C;000C;000C;000F;000F
94,541,19,16,16,7,baseline,8,14,0000;0000;0000;0000;0000;0000;0000;0000;001C;001C;003C;0036;0036;0063;0063;0000
95,559,19,16,16,9,baseline,13,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;01FF;01FF;0000
96,1,37,16,16,4,baseline,11,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0003;0007;000E;0008;0000
97,19,37,16,16,7,baseline,6,14,0000;0000;0000;0000;0000;0000;003E;007F;0060;0078;007E;0063;0063;007F;006E;0000
98,37,37,16,16,8,baseline,2,14,0000;0000;0003;0003;0003;0003;003B;007F;00E3;00C3;00C3;00C3;00E3;007F;003F;0000
99,55,37,16,16,7,baseline,6,14,0000;0000;0000;0000;0000;0000;003C;007E;0007;0003;0003;0003;0007;007E;007C;0000
100,73,37,16,16,8,baseline,2,14,0000;0000;00C0;00C0;00C0;00C0;00FC;00FE;00C7;00C3;00C3;00C3;00C7;00FE;00FE;0000
101,91,37,16,16,8,baseline,6,14,0000;0000;0000;0000;0000;0000;003C;007E;00C3;00FF;00FF;0003;0007;007E;007C;0000
102,109,37,16,16,5,baseline,2,14,0000;0000;001C;001E;0006;0006;001F;001F;0006;0006;0006;0006;0006;0006;0006;0000
103,127,37,16,16,8,baseline,2,14,0000;0000;00FE;00FF;0063;0063;0077;003E;001F;003F;00FE;00C3;00C3;00FF;003E;0000
104,145,37,16,16,7,baseline,2,14,0000;0000;0003;0003;0003;0003;003B;007F;0063;0063;0063;0063;0063;0063;0063;0000
105,163,37,16,16,2,baseline,2,14,0000;0000;0003;0003;0000;0000;0003;0003;0003;0003;0003;0003;0003;0003;0003;0000
106,181,37,16,16,4,baseline,1,14,0000;000C;000C;0000;000C;000C;000C;000C;000C;000C;000C;000C;000C;000E;0007;0000
107,199,37,16,16,8,baseline,2,14,0000;0000;0003;0003;0003;0003;0063;0033;003B;001F;001F;003F;0033;0063;00E3;0000
108,217,37,16,16,3,baseline,2,14,0000;0000;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0007;0007;0000
109,235,37,16,16,12,baseline,6,14,0000;0000;0000;0000;0000;0000;073B;0FFF;0C63;0C63;0C63;0C63;0C63;0C63;0C63;0000
110,253,37,16,16,7,baseline,6,14,0000;0000;0000;0000;0000;0000;003B;007F;0063;0063;0063;0063;0063;0063;0063;0000
111,271,37,16,16,8,baseline,6,14,0000;0000;0000;0000;0000;0000;003C;007E;00E7;00C3;00C3;00C3;00E7;007E;003C;0000
112,289,37,16,16,8,baseline,2,14,0000;0000;007F;007F;00E3;00C3;00C3;00C3;00E3;007F;003F;0003;0003;0003;0003;0000
113,307,37,16,16,8,baseline,2,14,0000;0000;00FC;00FE;00C7;00C3;00C3;00C3;00C7;00FE;00FE;00C0;00C0;00C0;00C0;0000
114,325,37,16,16,5,baseline,6,14,0000;0000;0000;0000;0000;0000;001B;001F;0007;0003;0003;0003;0003;0003;0003;0000
115,343,37,16,16,6,baseline,6,14,0000;0000;0000;0000;0000;0000;001E;003F;0003;0007;001E;0038;0030;003F;001F;0000
116,361,37,16,16,5,baseline,3,14,0000;0000;0000;0006;0006;0006;001F;001F;0006;0006;0006;0006;0006;001E;001C;0000
117,379,37,16,16,7,baseline,6,14,0000;0000;0000;0000;0000;0000;0063;0063;0063;0063;0063;0063;0063;007F;006E;0000
118,397,37,16,16,9,baseline,6,14,0000;0000;0000;0000;0000;0000;01C3;00C6;00C6;00E6;006C;006C;007C;0038;0038;0000
119,415,37,16,16,13,baseline,6,14,0000;0000;0000;0000;0000;0000;18E7;18E6;0CE6;0DE6;0DBE;0DBC;07BC;073C;071C;0000
120,433,37,16,16,8,baseline,6,14,0000;0000;0000;0000;0000;0000;00C6;006E;006C;003C;0038;003C;007C;0066;00C7;0000
121,451,37,16,16,9,baseline,2,14,0000;0000;01C3;00C6;00C6;00EE;006C;006C;007C;0038;0038;0038;0018;001E;000E;0000
122,469,37,16,16,7,baseline,6,14,0000;0000;0000;0000;0000;0000;007E;007E;0030;0038;001C;000C;000E;007F;007F;0000
123,487,37,16,16,5,center,0,15,001C;001C;000C;000C;000C;000C;000C;000E;0007;000E;000C;000C;000C;000C;001C;001C
124,505,37,16,16,2,center,0,15,0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003;0003
125,523,37,16,16,5,center,0,15,0007;000E;000C;000C;000C;000C;000C;001C;001C;000C;000C;000C;000C;000C;000E;0007
126,541,37,16,16,7,baseline,12,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;004F;007F;0079;0000
178,559,37,16,16,5,superscript,0,7,000E;0009;0008;000C;000C;0006;0002;001F;0000;0000;0000;0000;0000;0000;0000;0000
179,1,55,16,16,5,superscript,0,7,000E;0010;0010;000E;000E;0010;0011;000E;0000;0000;0000;0000;0000;0000;0000;0000
183,19,55,16,16,4,midline,6,9,0000;0000;0000;0000;0000;0000;0006;000F;000F;0006;0000;0000;0000;0000;0000;0000
185,37,55,16,16,5,superscript,0,7,000E;000C;000C;000C;000C;000C;000C;001F;0000;0000;0000;0000;0000;0000;0000;0000
215,55,55,16,16,10,baseline,5,14,0000;0000;0000;0000;0000;0303;0387;01CE;00FC;0078;0078;00FC;01CE;0387;0303;0000
8211,73,55,16,16,7,midline,7,8,0000;0000;0000;0000;0000;0000;0000;007F;007F;0000;0000;0000;0000;0000;0000;0000
8220,91,55,16,16,5,baseline,10,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0012;001B;0009;001B;001B;0000
8221,109,55,16,16,5,baseline,11,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;001B;001B;0012;0009;0000
8304,127,55,16,16,5,superscript,0,7,000E;001B;0011;0011;0011;0011;001B;000E;0000;0000;0000;0000;0000;0000;0000;0000
8308,145,55,16,16,6,superscript,0,7,0018;001C;001E;001A;001A;003F;001F;0018;0000;0000;0000;0000;0000;0000;0000;0000
8309,163,55,16,16,5,superscript,0,7,000E;0002;0002;000E;0018;0010;0019;000E;0000;0000;0000;0000;0000;0000;0000;0000
8310,181,55,16,16,5,superscript,0,7,000E;0002;0001;000F;001B;0011;001B;000E;0000;0000;0000;0000;0000;0000;0000;0000
8311,199,55,16,16,5,superscript,0,7,001F;0008;000C;0004;0004;0002;0002;0002;0000;0000;0000;0000;0000;0000;0000;0000
8312,217,55,16,16,5,superscript,0,7,000E;0011;0011;000E;000E;0011;0011;000E;0000;0000;0000;0000;0000;0000;0000;0000
8313,235,55,16,16,5,superscript,0,7,000E;0019;0011;001B;001E;0018;0008;000E;0000;0000;0000;0000;0000;0000;0000;0000
8315,253,55,16,16,5,superscript,0,7,0000;0000;0000;001F;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000
8592,271,55,16,16,15,baseline,8,14,0000;0000;0000;0000;0000;0000;0000;0000;0018;000C;0006;7FFF;3FFF;000C;0018;0000
8593,289,55,16,16,7,baseline,0,14,0008;001C;003C;007E;007B;0018;0018;0018;0018;0018;0018;0018;0018;0018;0018;0000
8594,307,55,16,16,15,baseline,8,14,0000;0000;0000;0000;0000;0000;0000;0000;0C00;1800;3000;7FFF;7FFE;1800;0C00;0000
8595,325,55,16,16,7,baseline,0,14,0018;0018;0018;0018;0018;0018;0018;0018;0018;0018;007B;007E;003C;001C;0008;0000
9654,343,55,16,16,13,baseline,1,14,0000;0003;000F;003F;007F;01FF;07FF;1FFF;0FFF;07FF;01FF;007F;001F;000F;0003;0000
12289,361,55,16,16,4,baseline,10,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0002;0007;000E;000C;0008;0000
12290,379,55,16,16,5,baseline,10,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;000E;001B;0011;001B;000E;0000
19968,397,55,16,16,15,baseline,13,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;7FFF;7FFF;0000
19969,415,55,16,16,15,baseline,1,14,0000;7FFF;7FFF;0180;0180;0180;0180;0180;0180;0180;0180;0180;0180;01F8;01F0;0000
19971,433,55,16,16,14,baseline,0,14,0030;0030;0030;0030;3C30;3FF0;07FF;003F;0030;0030;1030;3030;3030;3FF0;1FE0;0000
19975,451,55,16,16,15,baseline,2,14,0000;0000;7FFF;3FFF;0030;0030;1FF0;1FF8;1838;1818;1818;180C;1C0E;0F87;0F83;0000
19977,469,55,16,16,14,baseline,3,14,0000;0000;0000;1FFE;1FFE;0000;0000;0000;0FFC;0FFC;0000;0000;0000;3FFF;3FFF;0000
19978,487,55,16,16,15,baseline,0,14,00C0;00C0;00C0;00C0;00C0;3FC0;3FC0;00C0;00C0;00C0;00C0;00C0;00C0;7FFF;7FFF;0000
19979,505,55,16,16,15,baseline,1,14,0000;3FFF;7FFF;3FFF;00C0;00C0;01C0;07C0;1EC0;18C0;00C0;00C0;00C0;00C0;00C0;0000
19981,523,55,16,16,14,baseline,1,14,0000;3FFF;3FFF;01C0;00C0;00E0;07F0;0EFC;1CCE;30C7;20C3;00C0;00C0;00C0;00C0;0000
19982,541,55,16,16,14,baseline,1,14,0000;0018;1FF8;3FFC;000C;000C;3FFC;3FFC;3000;3800;3BFF;3BFF;1800;1F80;0F80;0000
19988,559,55,16,16,14,baseline,1,14,0000;0FFC;0FFC;0C0C;0C0C;0FFC;0FFC;0C0C;0C0C;0FFC;0FFC;0C0C;0C0C;3FFF;3FFF;0000
19997,1,73,16,16,14,baseline,0,14,0400;0C18;060C;064C;3366;19B6;1FBF;0E9B;060C;0306;3FFF;07BE;0000;3FFF;3FFF;0000
20004,19,73,16,16,14,baseline,1,14,0000;3FFF;3FFF;0330;0330;3FFF;3FFF;3333;3333;37FB;3DDB;38CF;30CF;3E03;1E03;0000
20010,37,73,16,16,15,baseline,0,14,0180;0180;03C0;0770;0E38;399E;718F;4182;0180;0180;0180;0180;0180;0180;0180;0000
20013,55,73,16,16,14,baseline,0,14,00C0;00C0;00C0;1FFE;3FFF;30C3;30C3;30C3;3FFF;3FFF;30C3;00C0;00C0;00C0;00C0;0000
20020,73,73,16,16,13,baseline,1,14,0000;00CC;00CC;1FCD;1FED;03ED;073D;020D;1FED;1FED;196D;196D;196D;1FED;1FEC;0000
20026,91,73,16,16,14,baseline,0,14,0064;006C;006C;0068;3FFF;3FFF;3060;3060;31B0;3330;3318;381C;180E;1F07;1F02;0000
20027,109,73,16,16,14,baseline,0,14,0060;00E0;01C0;3FFF;3FFF;00C0;00C0;00C0;1FFE;1FFE;00C0;00C0;00C0;3FFF;3FFF;0000
20037,127,73,16,16,14,baseline,0,14,0010;0038;0018;03F8;03FC;038E;0186;01C3;01C3;03E0;0370;0638;0E1C;3C0F;3007;0000
20043,145,73,16,16,14,baseline,0,14,0040;00E0;00C0;0FFE;1FFF;1C00;0E00;0700;0380;01C0;00E0;0038;001E;3FFF;3FF3;0000
20061,163,73,16,16,15,baseline,0,14,0030;0030;0030;0030;07FF;07FF;0630;0630;0630;0618;0618;261C;660E;3E07;3E03;0000
20063,181,73,16,16,15,baseline,0,14,0180;018C;118C;3F8C;3FCC;31FC;31BF;318F;118C;1D8C;1F8C;608C;600C;7FF8;3FF8;0000
20080,199,73,16,16,14,baseline,1,14,0000;3FFF;3FFE;1800;199C;09B0;0186;018E;0088;3FFF;3FFF;01E0;0770;1C3E;380F;0000
20102,217,73,16,16,13,baseline,1,14,0000;1FFF;1FFF;0E00;0700;03C0;00C0;00C0;00C0;00C0;00C0;00C0;00C0;00F8;00F8;0000
20107,235,73,16,16,15,baseline,0,14,0180;0180;7FFE;0180;3FFC;318C;3FFC;0180;3FFC;3180;7FFF;3180;3FFC;3180;00E0;0000
20108,253,73,16,16,14,baseline,4,14,0000;0000;0000;0000;1FFE;1FFE;0000;0000;0000;0000;0000;0000;0000;3FFF;3FFF;0000
20110,271,73,16,16,14,baseline,1,14,0000;1FFE;1FFE;00C0;00C0;00C0;00C0;3FFF;3FFF;00C0;00C0;00C0;00C0;00F8;00F8;0000
20111,289,73,16,16,14,baseline,1,14,0000;1FFE;1FFE;0000;0000;3FFF;3FFF;0018;0018;1FF8;1FF8;0800;0C00;0FC0;0FC0;0000
20114,307,73,16,16,15,baseline,1,14,0000;3FFF;3FFF;0018;0018;0FF8;0FF8;0618;060C;07FC;07FC;0600;0600;3FFF;7FFF;0000
20116,325,73,16,16,14,baseline,2,14,0000;0000;1FFE;1FFE;0060;0060;07FC;0FFC;0E70;0C30;0630;0630;0630;3FFF;3FFF;0000
20132,343,73,16,16,14,baseline,0,14,0040;00C0;3FFF;3FFF;0610;0E18;1C0E;3E1F;1732;0330;01E0;01E0;03F0;1F3E;3C0F;0000
20139,361,73,16,16,14,baseline,0,14,0040;00C0;3FFF;0000;0FFC;0C0C;0FFC;0000;0FFE;0F80;01C0;3FFF;00C0;00C0;00F8;0000
20142,379,73,16,16,14,baseline,0,14,00C0;00C0;3FFF;0000;0FFC;0C0C;0FFC;0000;3FFF;3003;37FB;0718;2718;370E;3E07;0000
20154,397,73,16,16,15,baseline,0,14,00C0;00C0;00C0;00C0;00E0;01E0;01E0;01E0;0370;0330;0638;0E1C;1C0E;7807;2003;0000
20159,415,73,16,16,15,baseline,0,14,0010;0030;7FD8;3F98;180C;0C0E;0E0F;070E;030C;018C;40CC;60CC;60CC;7FCC;3F0C;0000
20165,433,73,16,16,16,baseline,0,14,0010;0030;7FF8;7FD8;70DC;319E;319F;399A;1B18;0F18;0E18;0F18;3B98;F1F8;6078;0000
20173,451,73,16,16,15,baseline,0,14,0008;0FF8;1FEC;0CCC;0CCE;0CCE;7CCF;7CCF;60CC;60CC;606C;706C;306C;3E3C;3E3C;0000
20174,469,73,16,16,14,baseline,1,14,0000;0618;0618;0618;0618;0718;071C;073C;073C;0F6C;0FEC;1D86;19C6;30C7;3063;0000
20179,487,73,16,16,15,baseline,0,14,0080;01C0;03C0;0770;1C38;781C;7FFF;0FFA;0C18;0C18;0C18;0F18;3018;3FF8;1FF0;0000
20184,505,73,16,16,14,baseline,1,14,0000;1810;1818;1818;3FEC;3FEC;180E;184F;18CE;198C;198C;180C;180C;1F0C;0F0C;0000
20195,523,73,16,16,15,baseline,1,14,0000;0B30;1B18;3318;031C;3F9E;1FFF;031B;0318;0618;0618;6618;6E18;3C18;3818;0000
20197,541,73,16,16,14,baseline,1,14,0000;1806;1866;18E6;18C6;0D86;0C06;0C06;0C06;0666;0E7E;1F1E;3B87;31E2;2060;0000
20214,559,73,16,16,14,baseline,0,14,0308;036C;036C;1FE6;3FE6;0337;0337;0307;3FF6;3FF6;0306;0306;0306;0306;0306;0000
20215,1,91,16,16,15,baseline,0,14,0610;0618;0F18;1B9C;39CC;70EE;70FF;198E;198C;198C;198C;18CC;18CC;186C;186C;0000
20219,19,91,16,16,16,baseline,1,14,0000;3830;7FF8;07F8;061C;061C;061E;7FFF;FFFA;0618;0618;0618;0618;7FF8;7FF8;0000
20221,37,91,16,16,16,baseline,0,14,0910;1998;1998;31CC;30CC;60EE;FFFF;7FEE;330C;330C;318C;318C;30CC;3CEC;1E6C;0000
20240,55,91,16,16,15,baseline,0,14,0D98;1D98;198C;318C;3FFE;07FF;330F;1B0D;1F0C;0F0C;070C;678C;6FEC;3C7C;380C;0000
20248,73,91,16,16,14,baseline,0,14,0D88;1D8C;198C;1186;3FFE;3FF7;0087;06C7;06C6;06C6;06C6;2666;2666;3E36;3E1E;0000
20249,91,91,16,16,14,baseline,1,14,0000;0308;030C;030C;3366;1B67;1B37;1B37;0BB6;0386;0786;06C6;0CE6;3C76;1036;0000
20250,109,91,16,16,14,baseline,1,14,0000;01C0;01E0;0770;0E3C;3FFF;37FF;0000;3FFE;3FFF;0470;0E38;1C1C;1FFE;31FE;0000
20272,127,91,16,16,16,baseline,0,14,0610;0618;0618;061C;FFEC;7FEE;060F;060E;7FCC;7FCC;60CC;60CC;60CC;7FCC;7FCC;0000
20276,145,91,16,16,16,baseline,0,14,0630;66F8;66D8;36DC;368C;7FCE;7FEF;060F;060C;7FEC;FFEC;060C;060C;060C;060C;0000
20280,163,91,16,16,16,baseline,0,14,0610;0618;0618;FFEC;FFEC;C66E;FFEF;C66E;C66C;FFEC;FFEC;C66C;060C;060C;060C;0000
20301,181,91,16,16,15,baseline,0,14,0200;0630;0618;3FD8;7FEC;100E;308F;318F;198C;198C;198C;198C;0C0C;7FEC;7FEC;0000
20302,199,91,16,16,16,baseline,0,14,2000;7E18;1FD8;0CD8;0CCC;0CCE;7FCE;FFCF;18CC;18CC;18CC;9CCC;F6CC;FFEC;6CEC;0000
20307,217,91,16,16,15,baseline,1,14,0000;0318;0318;030C;7FFC;3FEE;0F8F;0F8F;1BCC;1B6C;337C;7FFC;030C;030C;030C;0000
20313,235,91,16,16,15,baseline,0,14,0080;01C0;03E0;0738;1E1C;7FFF;37FB;00C0;3FFE;3FFE;00C0;0CDC;1CCE;30F7;00F0;0000
20316,253,91,16,16,16,baseline,1,14,0000;0330;0318;7F98;FFCC;06CE;7E6F;7E2E;060C;060C;FE0C;7E0C;060C;060C;060C;0000
20320,271,91,16,16,16,baseline,0,14,0010;01B0;0198;FFD8;FFCC;CCEE;6C6F;3D8E;3D8C;6CCC;6CCC;ECEC;4C6C;0F0C;070C;0000
20351,289,91,16,16,16,baseline,0,14,0630;0618;FFF8;7FFC;060C;7FEE;666F;666E;7FEC;064C;06CC;038C;078C;7FEC;706C;0000
20363,307,91,16,16,15,baseline,0,14,6008;63FC;6FEC;6C4C;6DEE;6FEE;6F2F;6F3E;6DFC;6DDC;6D8C;60CC;60CC;786C;782C;0000
20379,325,91,16,16,14,baseline,1,14,0000;0CD8;0CD8;0CCC;3FEC;3FEE;0CCF;0CCF;0CCC;3FFC;3FFC;088C;18CC;306C;303C;0000
20391,343,91,16,16,14,baseline,1,14,0000;200C;21FC;2914;2956;2956;2956;2957;2954;2954;2954;2974;20E4;21B4;3B14;0000
20415,361,91,16,16,14,baseline,0,14,0008;3FFC;3FFC;030C;3FE6;3326;3327;3FE7;3326;3FE6;0326;03E6;01C6;3FF6;3C36;0000
20445,379,91,16,16,16,baseline,0,14,0010;7FD8;60D8;60D8;60CC;7FCE;7FCF;060E;FFEC;7FEC;1F0C;378C;76EC;E67C;060C;0000
20449,397,91,16,16,14,baseline,0,14,0108;030C;030C;3FF6;0006;0007;1FE7;0007;1FE6;0006;1FE6;1866;1026;1866;1FE6;0000
20462,415,91,16,16,16,baseline,0,14,0318;0318;7F9C;738C;3BCE;1E6E;3F2F;F3EF;0E2C;17AC;192C;6F2C;732C;1F0C;038C;0000
20493,433,91,16,16,15,baseline,0,14,0308;030C;3FEC;3FEC;18C6;0CC7;0CC7;7FF7;0006;1FC6;1FE6;1866;1866;1FE6;1FE6;0000
20511,451,91,16,16,16,baseline,0,14,1990;1998;1998;7FEC;198C;198E;FFFE;7FEF;3FCC;30CC;30CC;3FCC;20CC;30CC;3FCC;0000
